year,month,ff4_tc,ed2_tc,ed3_tc,ed4_tc,sp500_tc,pmneg_ed2_sp500_tc,pmpos_ed2_sp500_tc,pmneg_ff4_sp500_tc,pmpos_ff4_sp500_tc
1979,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1979,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1980,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1981,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1983,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1984,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
