date,gz_spr,baa_aaa,cp_treas1mo,dd_wp25,dd_wp50,dd_wp75,dd_wp50_all,gz_spr_p,gz_spr_oa_p,ebp,xmktret,cds1yr_bd_avg,cds5yr_bd_avg,sp500vix,xret_bd,termspr,ffr_r,empl,uerate,ipm
JAN1971,,,,,,,,,,,,,,,,-1.8828,-0.8388,57988.00,5.9000,
FEB1971,,,,,,,,,,,,,,,,-2.6931,-1.5276,57928.00,5.9000,
MAR1971,,,,,,,,,,,,,,,,-1.8398,-0.4041,57951.00,6.0000,
APR1971,,,,,,,,,,,,,,,,-2.0958,-0.6008,58092.00,5.9000,
MAY1971,,,,,,,,,,,,,,,,-1.9802,0.0466,58277.00,5.9000,
JUN1971,,,,,,,,,,,,,,,,-1.4082,-0.1636,58245.00,5.9000,
JUL1971,,,,,,,,,,,,,,,,-1.4669,0.5530,58305.00,6.0000,
AUG1971,,,,,,,,,,,,,,,,-1.7345,0.8019,58327.00,6.1000,
SEP1971,,,,,,,,,,,,,,,,-1.4861,0.6294,58552.00,6.0000,
OCT1971,,,,,,,,,,,,,,,,-1.5960,0.6306,58527.00,5.8000,
NOV1971,,,,,,,,,,,,,,,,-1.6911,0.0896,58696.00,6.0000,
DEC1971,,,,,,,,,,,,,,,,-2.2238,-0.8701,58918.00,6.0000,
JAN1972,,,,,,,,,,,,,,,,-2.7519,-0.5612,59179.00,5.8000,34.6349
FEB1972,,,,,,,,,,,,,,,,-2.6176,-0.4678,59354.00,5.7000,34.8705
MAR1972,,,,,,,,,,,,,,,,-2.3454,0.3953,59616.00,5.8000,35.1179
APR1972,,,,,,,,,,,,,,,,-2.4884,0.8300,59805.00,5.7000,35.5284
MAY1972,,,,,,,,,,,,,,,,-2.2741,1.4049,60051.00,5.7000,35.5679
JUN1972,,,,,,,,,,,,,,,,-2.0548,1.3547,60355.00,5.7000,35.6836
JUL1972,,,,,,,,,,,,,,,,-2.3269,1.5483,60227.00,5.6000,35.6978
AUG1972,,,,,,,,,,,,,,,,-1.7927,2.2673,60607.00,5.6000,36.1594
SEP1972,,,,,,,,,,,,,,,,-1.7878,1.9498,60693.00,5.5000,36.4103
OCT1972,,,,,,,,,,,,,,,,-1.5272,1.7819,61066.00,5.6000,36.9757
NOV1972,,,,,,,,,,,,,,,,-1.3296,2.1934,61322.00,5.3000,37.4590
DEC1972,,,,,,,,,,,,,,,,-1.1363,2.4634,61586.00,5.2000,38.0137
JAN1973,0.9565,0.7500,0.2500,7.2922,9.9573,13.5179,7.2427,0.8754,0.7051,0.0811,,,,,,-0.7261,3.4765,61930.00,4.9000,38.2803
FEB1973,0.8901,0.7500,0.3700,6.9990,9.3131,13.7699,6.9371,0.8454,0.7501,0.0446,,,,,,-0.6946,4.8424,62306.00,5.0000,38.9233
MAR1973,0.8223,0.7400,0.6100,6.6142,9.3855,11.9865,6.7339,0.8854,0.7770,-0.0630,,,,,,-0.2268,4.6800,62541.00,4.9000,38.9760
APR1973,0.7789,0.8300,0.8200,6.4645,8.7975,11.0375,6.5592,0.8950,0.8026,-0.1161,,,,,,-0.3907,4.7242,62679.00,5.0000,38.9134
MAY1973,0.8196,0.7700,0.6900,7.4057,10.6283,10.9031,6.9315,0.8449,0.8276,-0.0252,,,,,,0.2571,4.8624,62829.00,4.9000,39.1683
